,waypoint_id,latitude,longitude,altitude,time,accumulated time,phase,average_power,energy_budget,v_vertical,v_horizontal,heading
0,bd_wp0,37.874212,-122.24916,260.0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0
1,bd_wp1,37.874212,-122.24916,290.0,15.0,15.0,hover_climb,623704.4660731319,2.59876860863805,2.0,0.0,0.0
2,bd_wp2,37.875284,-122.25021,330.0,20.0,35.0,climb_transition,322356.9407081761,1.7908718928232008,2.0,7.533673132912791,322.29072974001934
3,bd_wp2-2,37.87598917647059,-122.24970423529412,350.0,10.0,45.0,climb_transition,547994.123801572,1.5222058994488115,2.0,9.010582760479236,29.515432770773998
4,bd_wp3,37.881278,-122.245911,500.0,27.14004150456884,72.14004150456884,climb,305791.1100014363,2.3053287269908767,5.526889116022485,24.9,29.513424118136413
5,bd_wp4,37.888229,-122.241075,600.0,25.782808723296082,97.92285022786493,climb,230408.24569064408,1.6501588130311347,3.8785533831170573,34.2,28.76974743630592
6,bd_wp5,37.896211,-122.250755,600.0,16.480339314540412,114.40318954240534,cruise,108404.4138091756,0.4962615341025179,0.0,74.54545454545455,316.2603200448196
7,bd_wp6,37.951789,-122.307021,600.0,106.09387385535875,220.4970633977641,cruise,108404.4138091756,3.1947345011207746,0.0,74.54545454545455,321.40671807772384
8,bd_wp7,38.229132,-122.285932,600.0,414.4358729340762,634.9329363318403,cruise,108404.4138091756,12.479632740809032,0.0,74.54545454545455,3.4183305724924935
9,bd_wp8,38.384235,-122.09215,800.0,445.61808399519674,1080.5510203270371,climb,113122.71125312813,14.002646068044678,0.4488148196475702,54.2,44.372664293771436
10,bd_wp9,38.525032,-121.808567,150.0,468.56181668329015,1549.1128370103272,descent,64627.94293633789,8.411718430765136,-1.3872235783125013,62.400000000000006,57.536808133798104
11,bd_wp9-2,38.528323666666665,-121.80106533333333,100.0,24.940238947974407,1574.0530759583016,descent,84308.85610303511,0.5840786157333572,-2.0047923399731857,30.0,60.7102045977216
12,bd_wp10,38.530957,-121.795064,60.0,29.92734948675105,1603.9804254450528,descent_transition,102347.13378285787,0.8508273449130146,-1.3365700834184513,20.0,60.70966528162148
13,bd_wp11,38.531015,-121.791944,40.0,13.573429948524051,1617.553855393577,descent_transition,161135.82054704544,0.6075460478870178,-1.4734669185200873,20.0,88.63771877137839
14,bd_wp12,38.531015,-121.791944,25.0,8.0,1625.553855393577,hover_descent,551003.8989690146,1.2244531088200326,-2.0,0.0,0.0
