,waypoint_id,latitude,longitude,altitude,time,accumulated time,phase,average_power,energy_budget,v_vertical,v_horizontal,heading
0,ns_wp0,37.420569,-122.057634,0.0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0
1,ns_wp1,37.420569,-122.057634,30.0,15.0,15.0,hover_climb,616342.8851048723,2.5680953546036345,2.0,0.0,0.0
2,ns_wp1-2,37.41826928571429,-122.05784657142857,90.0,30.0,45.0,climb_transition,318668.1675339342,2.655568062782785,2.0,8.546823346014017,184.19871704173735
3,ns_wp2,37.417886,-122.057882,100.0,1.788038528604094,46.78803852860409,climb,307552.2723419319,0.15275425347419821,5.592720648926347,23.9,184.1987381645834
4,ns_wp3,37.412454,-122.057143,140.0,15.112606313367559,61.90064484197165,climb,180358.47609768918,0.7571351790398027,2.6467969303626195,40.2,173.83262081913392
5,ns_wp4,37.39759,-122.056276,300.0,46.3466275137797,108.24727235575135,climb,211838.12308458966,2.72721738439436,3.452246874973353,35.7,177.3468807991004
6,ns_wp5,37.365958,-122.055148,600.0,93.33500511864541,201.58227747439676,climb,203243.4667216762,5.269369446333024,3.214228141077901,37.7,178.37657091758103
7,ns_wp6,37.296258,-122.052937,1000.0,175.00567535873066,376.5879528331274,climb,170314.29614045756,8.279435672029898,2.2856401609837556,44.300000000000004,178.55444712264205
8,ns_wp7,37.22635,-122.054115,1200.0,153.3355811392811,529.9235339724084,climb,140029.27152473436,5.964297146043147,1.304328705144644,50.7,180.76871533904182
9,ns_wp8,37.116876,-122.053763,800.0,180.60820999051586,710.5317439629243,descent,47571.143454704754,2.38659418515452,-2.2147387431667966,67.4,179.8530961272429
10,ns_wp9,37.029599,-122.05451,500.0,147.94185815615444,858.4736021190788,descent,50192.831979321956,2.0626724525390396,-2.0278236581518825,65.6,180.39148606364543
11,ns_wp10,37.000583,-122.054375,350.0,46.29059190498163,904.7641940240604,descent,21559.59570137201,0.27722401284683557,-3.2403992653171825,69.7,179.78710661572723
12,ns_wp10-2,36.9963062,-122.05433959999999,290.0,23.778442658226208,928.5426366822867,descent,134947.69840025768,0.8913461411861477,-2.5232939289757423,20.0,179.6212345639069
13,ns_wp11,36.993455,-122.054316,250.0,20.0,948.5426366822867,descent_transition,150119.23943554555,0.8339957746419197,-2.0,15.852295137987355,179.62122036413723
14,ns_wp12,36.992873,-122.054334,230.0,10.0,958.5426366822867,descent_transition,199299.2875382412,0.55360913205067,-2.0,6.473518907666379,181.4150544779572
15,ns_wp13,36.992873,-122.054334,205.0,12.0,970.5426366822867,hover_descent,556224.7785050415,1.854082595016805,-2.0,0.0,0.0
