,waypoint_id,latitude,longitude,altitude,time,accumulated time,phase,average_power,energy_budget,v_vertical,v_horizontal,heading
0,dn_wp0,37.873977,-122.249441,260.0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0
1,dn_wp1,37.873977,-122.249441,290.0,15.0,15.0,hover_climb,623704.4660731319,2.59876860863805,2.0,0.0,0.0
2,dn_wp2,37.873145,-122.250966,330.0,20.0,35.0,climb_transition,322356.9407081761,1.7908718928232008,2.0,8.135721845509543,235.3500582332586
3,dn_wp2-2,37.87297441176471,-122.25240764705883,350.0,10.0,45.0,climb_transition,517943.1025963382,1.438730840545384,2.0,12.795331043338269,261.47515829649757
4,dn_wp3,37.871695,-122.26322,500.0,32.420914324514634,77.42091432451463,climb,263271.88076219393,2.3709764139569227,4.62664311371933,29.6,261.47811733418405
5,dn_wp4,37.868618,-122.28585,800.0,65.87126171656463,143.29217604107924,climb,260564.46868189983,4.767697308495286,4.554338146593586,30.6,260.2339968472787
6,dn_wp5,37.860956,-122.340023,800.0,64.80936378655356,208.1015398276328,cruise,108396.45187285772,1.9514180784999116,0.0,74.54545454545455,259.85956907709493
7,dn_wp6,37.785015,-122.347928,600.0,133.4291536725132,341.53069350014596,descent,62960.13226180532,2.333532545222827,-1.49892279532011,63.5,184.70298202665165
8,dn_wp7,37.613478,-122.178757,600.0,324.55287979976384,666.0835732999099,cruise,108404.4138091756,9.773045745770341,0.0,74.54545454545455,141.9826809008082
9,dn_wp8,37.454735,-122.083686,600.0,262.1343129255563,928.2178862254661,cruise,108404.4138091756,7.893476814434982,0.0,74.54545454545455,154.56698907810778
10,dn_wp9,37.438644,-122.073431,300.0,61.889883446974636,990.1077696724408,descent,0.26182880855230906,4.501265123434067e-06,-4.847318871702688,32.400000000000006,153.15861264030377
11,dn_wp10,37.423372,-122.060624,100.0,49.64081358906625,1039.748583261507,descent,266.2699218577018,0.0036716265431426137,-4.028942830301465,41.1,146.33585877868478
12,dn_wp10-2,37.423064714285715,-122.0602422857143,90.0,2.399864125204661,1042.1484473867117,descent,79001.67988503478,0.05266480482972158,-4.166902573764337,20.0,135.38848970519297
13,dn_wp11,37.421221,-122.057952,30.0,30.0,1072.1484473867117,descent_transition,146275.49808727956,1.218962484060663,-2.0,9.599524505849287,135.38749836041848
14,dn_wp12,37.421221,-122.057952,0.0,15.0,1087.1484473867117,hover_descent,550502.8851048723,2.2937620212703016,-2.0,0.0,0.0
