time_sec,time_hr,charge_rate,soc,
15956.64,4.43,15.0,88.00,
16148.52,4.49,15.0,88.50,
16340.40,4.54,15.0,89.00,
16532.28,4.59,15.0,89.50,
16762.68,4.66,12.5,90.00,
17050.68,4.74,10.0,90.50,
17338.68,4.82,10.0,91.00,
17626.68,4.90,10.0,91.50,
17914.68,4.98,10.0,92.00,
18202.68,5.06,10.0,92.50,
18490.68,5.14,10.0,93.00,
18778.68,5.22,10.0,93.50,
19066.68,5.30,10.0,94.00,
19354.68,5.38,10.0,94.50,
19642.68,5.46,10.0,95.00,
19930.68,5.54,10.0,95.50,
20218.68,5.62,10.0,96.00,
20506.68,5.70,10.0,96.50,
20794.68,5.78,10.0,97.00,
21082.68,5.86,10.0,97.50,
21370.68,5.94,10.0,98.00,
21658.68,6.02,10.0,98.50,
21946.68,6.10,10.0,99.00,
22234.68,6.18,10.0,99.50,
22810.68,6.34,5.0,100.00,
